Configuration,Epoch,Training Precision@5,Validation Precision@5
Training bpr-0.01-20,1,0.19633217,0.066276915
Training bpr-0.01-20,2,0.21895364,0.0738494
Training bpr-0.01-20,3,0.2703416,0.09055412
Training bpr-0.01-20,4,0.2741545,0.09218641
Training bpr-0.01-20,5,0.29222912,0.09707471
Training bpr-0.01-20,6,0.31862932,0.10477521
Training bpr-0.01-20,7,0.34780335,0.1124544
Training bpr-0.01-20,8,0.36983594,0.11896003
Training bpr-0.01-20,9,0.38883436,0.12386968
Training bpr-0.01-20,10,0.40410095,0.12759513
Training bpr-0.01-40,1,0.19633217,0.066276915
Training bpr-0.01-40,2,0.22501546,0.075816676
Training bpr-0.01-40,3,0.27283162,0.09170206
Training bpr-0.01-40,4,0.27439776,0.09203489
Training bpr-0.01-40,5,0.29734784,0.098391205
Training bpr-0.01-40,6,0.33551115,0.10957605
Training bpr-0.01-40,7,0.37584016,0.120425895
Training bpr-0.01-40,8,0.40872043,0.12869397
Training bpr-0.01-40,9,0.4267544,0.1332921
Training bpr-0.01-40,10,0.43678063,0.13532123
Training bpr-0.01-80,1,0.19863445,0.066697255
Training bpr-0.01-80,2,0.21085836,0.07111828
Training bpr-0.01-80,3,0.26866665,0.09002071
Training bpr-0.01-80,4,0.27393264,0.09184288
Training bpr-0.01-80,5,0.2917106,0.09685495
Training bpr-0.01-80,6,0.35717028,0.115091644
Training bpr-0.01-80,7,0.4041586,0.12714705
Training bpr-0.01-80,8,0.42996567,0.13337319
Training bpr-0.01-80,9,0.44148335,0.13641582
Training bpr-0.01-80,10,0.44890648,0.13771312
Training bpr-0.01-100,1,0.19633217,0.066276915
Training bpr-0.01-100,2,0.20753624,0.07005142
Training bpr-0.01-100,3,0.26700667,0.08940192
Training bpr-0.01-100,4,0.2724753,0.09120704
Training bpr-0.01-100,5,0.29908893,0.09816716
Training bpr-0.01-100,6,0.35895833,0.11515353
Training bpr-0.01-100,7,0.40669984,0.12685472
Training bpr-0.01-100,8,0.4299806,0.13280132
Training bpr-0.01-100,9,0.4399151,0.1353938
Training bpr-0.01-100,10,0.44791856,0.13736321
Training bpr-0.05-20,1,0.32986963,0.106966525
Training bpr-0.05-20,2,0.439962,0.13495637
Training bpr-0.05-20,3,0.4625088,0.14053172
Training bpr-0.05-20,4,0.47601086,0.14326286
Training bpr-0.05-20,5,0.4819106,0.14384323
Training bpr-0.05-20,6,0.48688206,0.14451534
Training bpr-0.05-20,7,0.49082297,0.14482473
Training bpr-0.05-20,8,0.49221414,0.14551178
Training bpr-0.05-20,9,0.49487913,0.14524506
Training bpr-0.05-20,10,0.49660313,0.14527707
Training bpr-0.05-40,1,0.30966565,0.10113299
Training bpr-0.05-40,2,0.44384113,0.13503745
Training bpr-0.05-40,3,0.46999598,0.14119957
Training bpr-0.05-40,4,0.48209828,0.14300682
Training bpr-0.05-40,5,0.4881985,0.14402246
Training bpr-0.05-40,6,0.49442896,0.14379203
Training bpr-0.05-40,7,0.4975996,0.14395632
Training bpr-0.05-40,8,0.50179017,0.14373653
Training bpr-0.05-80,1,0.28706768,0.0935157
Training bpr-0.05-80,2,0.44830477,0.13636889
Training bpr-0.05-80,3,0.4771353,0.14150897
Training bpr-0.05-80,4,0.48880234,0.1431391
Training bpr-0.05-80,5,0.49662447,0.14389656
Training bpr-0.05-80,6,0.5028378,0.14357226
