Configuration,Epoch,Training Precision@5,Validation Precision@5
Training bpr-0.005-20,1,0.1950989067554474,0.0655151829123497
Training bpr-0.005-20,2,0.1965903490781784,0.06614462286233902
Training bpr-0.005-20,3,0.19634926319122314,0.0677897110581398
Training bpr-0.005-20,4,0.20060811936855316,0.08290908485651016
Training bpr-0.005-20,5,0.24585746228694916,0.08918002247810364
Training bpr-0.005-20,6,0.2652207612991333,0.08968570083379745
Training bpr-0.005-20,7,0.2668103575706482,0.08979453146457672
Training bpr-0.005-20,8,0.26725202798843384,0.0900719165802002
Training bpr-0.005-20,9,0.2683018147945404,0.09066507965326309
Training bpr-0.005-40,1,0.1963321566581726,0.066276915371418
Training bpr-0.005-40,2,0.1963321566581726,0.066276915371418
Training bpr-0.005-40,3,0.1963321566581726,0.066276915371418
Training bpr-0.005-40,4,0.20828942954540253,0.0702093169093132
Training bpr-0.005-40,5,0.25897541642189026,0.08721701800823212
Training bpr-0.005-40,6,0.2672925591468811,0.09036208689212799
Training bpr-0.005-40,7,0.268513023853302,0.0901956632733345
Training bpr-0.005-40,8,0.27030959725379944,0.09052851051092148
Training bpr-0.005-40,9,0.2746623456478119,0.0917084664106369
Training bpr-0.005-40,10,0.2850150465965271,0.09471698105335236
Training bpr-0.005-80,1,0.1963321566581726,0.066276915371418
Training bpr-0.005-80,2,0.1963321566581726,0.066276915371418
Training bpr-0.005-80,3,0.1963321566581726,0.066276915371418
Training bpr-0.005-80,4,0.21042737364768982,0.07104145735502243
Training bpr-0.005-80,5,0.26647108793258667,0.08990761637687683
Training bpr-0.005-80,6,0.26792198419570923,0.09016579389572144
Training bpr-0.005-80,7,0.2668871581554413,0.08967076987028122
Training bpr-0.005-80,8,0.26951584219932556,0.09034715592861176
Training bpr-0.005-80,9,0.2759212255477905,0.09214372932910919
Training bpr-0.005-80,10,0.29279452562332153,0.09681012481451035
Training bpr-0.01-20,1,0.18108263611793518,0.060855187475681305
Training bpr-0.01-20,2,0.21464359760284424,0.07210617512464523
Training bpr-0.01-20,3,0.26503509283065796,0.08919923007488251
Training bpr-0.01-20,4,0.26948171854019165,0.09019993245601654
Training bpr-0.01-20,5,0.27849873900413513,0.09317430853843689
Training bpr-0.01-20,6,0.2953251004219055,0.09774041920900345
Training bpr-0.01-20,7,0.32287752628326416,0.10551561415195465
Training bpr-0.01-20,8,0.3491518497467041,0.11304116994142532
Training bpr-0.01-20,9,0.37102869153022766,0.11898777633905411
Training bpr-0.01-20,10,0.38656625151634216,0.12335973232984543
Training bpr-0.01-40,1,0.1963321566581726,0.066276915371418
Training bpr-0.01-40,2,0.2161841094493866,0.07283803820610046
Training bpr-0.01-40,3,0.2662961483001709,0.08987133949995041
Training bpr-0.01-40,4,0.2709347903728485,0.0904645100235939
Training bpr-0.01-40,5,0.29526960849761963,0.09717285633087158
Training bpr-0.01-40,6,0.32890093326568604,0.1076045036315918
Training bpr-0.01-40,7,0.3595152199268341,0.11614356189966202
Training bpr-0.01-40,8,0.38188493251800537,0.12175946682691574
Training bpr-0.01-40,9,0.40340325236320496,0.12694647908210754
Training bpr-0.01-40,10,0.4204152226448059,0.130883127450943
Training bpr-0.01-80,1,0.1963321566581726,0.066276915371418
Training bpr-0.01-80,2,0.21678580343723297,0.0731559544801712
Training bpr-0.01-80,3,0.26580747961997986,0.08935073018074036
Training bpr-0.01-80,4,0.2695116400718689,0.09036636352539062
Training bpr-0.01-80,5,0.29452064633369446,0.09803060442209244
Training bpr-0.01-80,6,0.34897691011428833,0.1128363162279129
Training bpr-0.01-80,7,0.3870612680912018,0.12281990796327591
Training bpr-0.01-80,8,0.41887474060058594,0.13137604296207428
Training bpr-0.01-80,9,0.43386605381965637,0.13457870483398438
Training bpr-0.01-80,10,0.44293639063835144,0.13700684905052185
Training bpr-0.05-20,1,0.2968250513076782,0.09701069444417953
Training bpr-0.05-20,2,0.4330637753009796,0.13279280066490173
